skill_id:ID,skill_name,aliases[],:LABEL
7766,predictive,predictive,SKILL
7767,statistical,statistical,SKILL
7768,visual analytics,visual analytics;sas visual analytics,SKILL
7769,tps,tps,SKILL
7770,release engineer,release engineer,SKILL
7771,network troubleshooting experience,network troubleshooting experience,SKILL
7772,support experience,support experience,SKILL
7773,b a,b a,SKILL
7774,q a,q a,SKILL
7775,webspere mq,webspere mq,SKILL
7776,telerik tools,telerik tools,SKILL
7777,patrick trainorcanyon associates,patrick trainorcanyon associates,SKILL
7778,project management2,project management;project management project;project management scope;project management2,SKILL
7779,solid communication,solid communication,SKILL
7780,documentation skills,documentation skills,SKILL
7781,superior communication skills,communication skills;superior communication skills,SKILL
7782,self motivated,self motivated,SKILL
7783,aml or kyc,aml or kyc,SKILL
7784,servlet and jsp,servlet and jsp,SKILL
7785,apache nifi,apache nifi,SKILL
7786,kafka bus,kafka bus,SKILL
7787,realtime stream processing,realtime stream processing,SKILL
7788,flink,flink,SKILL
7789,activex,activex,SKILL
7790,site to site,site to site,SKILL
7791,fortinet,fortinet,SKILL
7792,sdlc and itil,sdlc and itil,SKILL
7793,node js/backbonethis,node js/backbonethis,SKILL
7794,opensource,open source;opensource,SKILL
7795,hadoop contract,hadoop contract,SKILL
7796,hire primary responsibilities,hire primary responsibilities,SKILL
7797,senior java developers,senior java developers,SKILL
7798,contact center express,contact center express,SKILL
7799,dsl,dsl,SKILL
7800,evpl,evpl,SKILL
7801,ebgp,ebgp,SKILL
7802,asr 9000 series routers,asr 9000 series routers,SKILL
7803,4000 series routers,4000 series routers,SKILL
7804,large cisco networks,large cisco networks,SKILL
7805,spam  web filters,spam  web filters,SKILL
7806,cs mis,cs mis,SKILL
7807,vpn appliances,vpn appliances,SKILL
7808,bus class hardware firewalls,bus class hardware firewalls,SKILL
7809,qxdm,qxdm,SKILL
7810,fabricpatch,fabricpatch,SKILL
7811,lisp,lisp,SKILL
7812,vdc,vdc,SKILL
7813,six sigma methodologies,six sigma methodologies,SKILL
7814,certifications or training in iso,certifications or training in iso,SKILL
7815,csqa,csqa,SKILL
7816,gradle,gradle,SKILL
7817,dagger,dagger,SKILL
7818,rxjava,rxjava,SKILL
7819,sound technology skills,sound technology skills,SKILL
7820,it staff augmentation experience,it staff augmentation experience,SKILL
7821,oracle access management,oracle access management,SKILL
7822,icm scripting,icm scripting,SKILL
7823,queries,queries,SKILL
7824,avaya acd,avaya acd,SKILL
7825,web sphere,web sphere;websphere,SKILL
7826,exits,exits,SKILL
7827,jqueryusability engineering,jqueryusability engineering,SKILL
7828,tivoli endpoint,tivoli endpoint,SKILL
7829,ibm endpoint,ibm endpoint,SKILL
7830,vc++,vc++,SKILL
7831,angular web javascript technologies,angular web javascript technologies,SKILL
7832,javasript,javascript;javasript,SKILL
7833,intelligence,intelligence,SKILL
7834,insights,insights,SKILL
7835,magnolia,magnolia,SKILL
7836,optimizely,optimizely,SKILL
7837,cics and db2,cics and db2,SKILL
7838,ant scripting,ant scripting,SKILL
7839,cloud ops,cloud ops,SKILL
7840,any database oracle,any database oracle,SKILL
7841,wcs architecture,wcs architecture,SKILL
7842,ibm websphere commerce,ibm websphere commerce,SKILL
7843,identity management environment,identity management;identity management environment,SKILL
7844,jpa,jpa,SKILL
7845,jaxp,jaxp,SKILL
7846,ibm bpm,ibm bpm,SKILL
7847,css  google,css  google,SKILL
7848,business and or entertainment news,business and or entertainment news,SKILL
7849,world,world,SKILL
7850,kpi,kpi,SKILL
7851,cfo,cfo,SKILL
7852,riverbed,riverbed,SKILL
7853,ms office 365 deployment,ms office 365 deployment,SKILL
7854,technical lead  jee 6,technical lead  jee 6,SKILL
7855,struts 12,struts 12,SKILL
7856,a graphic designer,a graphic designer,SKILL
7857,"previous newspaper, media or agency","previous newspaper, media or agency",SKILL
7858,media or agency,media or agency,SKILL
7859,the marketing manager,the marketing manager,SKILL
7860,cisco wlc,cisco wlc,SKILL
7861,and cisco miraki,and cisco miraki,SKILL
7862,l2tpv3,l2tpv3,SKILL
7863,gre,gre,SKILL
7864,netapp hp cisco,netapp hp cisco,SKILL
7865,cloud kvm,cloud kvm,SKILL
7866,docker containers,docker containers,SKILL
7867,patches,patches,SKILL
7868,postgresql versions 82 to 95,postgresql versions 82 to 95,SKILL
7869,health checks,health checks;health check,SKILL
7870,migrations,migration;migrations,SKILL
7871,installation,installation,SKILL
7872,disaster recovery more below,disaster recovery more below,SKILL
7873,upgrades,upgrades,SKILL
7874,vmware vcp4,vmware vcp4,SKILL
7875,5,5,SKILL
7876,salesforce architect,salesforce architect,SKILL
7877,pl sql sql oracle,pl sql sql oracle,SKILL
7878,sql dba,sql dba,SKILL
7879,help desk/desktopprovide,help desk/desktopprovide,SKILL
7880,njfirst,njfirst,SKILL
7881,architectural,architectural;architecture,SKILL
7882,data & analytics,data & analytics;data analytics,SKILL
7883,bi / dw / data,bi / dw / data,SKILL
7884,north highland worldwide consulting - http://www.northhighland.com compensation,north highland worldwide consulting - http;//www.northhighland.com compensation,SKILL
7885,skillsmaster,skillsmaster,SKILL
7886,"oracle, mysql)","oracle, mysql)",SKILL
7887,philadelphiaideal candidate,philadelphiaideal candidate,SKILL
7888,java/d3 a plus strong,java/d3 a plus strong,SKILL
7889,north highland worldwide consulting,north highland worldwide consulting,SKILL
7890,ominiture,ominiture,SKILL
7891,proof of conceptscreate conceptual and technical architecture,proof of conceptscreate conceptual and technical architecture,SKILL
7892,"google analytics, ominiture","google analytics, ominiture",SKILL
7893,data and analytics,demand analytics;data analytics;data and analytics,SKILL
7894,esop,esop,SKILL
7895,senior business architect,senior business architect,SKILL
7896,responsibilitiesparticipate,responsibilitiesparticipate,SKILL
7897,business intelligence/data warehousingexperience,business intelligence/data warehousingexperience,SKILL
7898,the united states library of congress,the united states library of congress,SKILL
7899,congress,congress,SKILL
7900,"etl (extract, transform, load","etl (extract, transform, load",SKILL
7901,cloud market,cloud market,SKILL
7902,coordinating campaign,coordinating campaign,SKILL
7903,sales specialist,sales specialist,SKILL
7904,execute sales,execute sales,SKILL
7905,business plans,business plan;business plans,SKILL
7906,data information management,health information management;data information management,SKILL
7907,data governance and data quality,data governance and data quality,SKILL
7908,sybase a plus,sybase a plus,SKILL
7909,sql server sql 2012,sql server sql 2012,SKILL
7910,12c,12c,SKILL
7911,mvc 35,mvc 35,SKILL
7912,net 4,net 4,SKILL
7913,simcorp,simcorp,SKILL
7914,5+ years of information security,5+ years of information security,SKILL
7915,js frameworks,js frameworks,SKILL
7916,golang,golang,SKILL
7917,higher education student information systems,higher education student information systems,SKILL
7918,requiredm.a. statistics,requiredm.a. statistics,SKILL
7919,specialized skillsspss,specialized skillsspss,SKILL
7920,sakaiapplying psychometrics,sakaiapplying psychometrics,SKILL
7921,assessmentengaging,assessmentengaging,SKILL
7922,grant writing,grant writing,SKILL
7923,preferredph.d. educational research,preferredph.d. educational research,SKILL
7924,learning management systems,learning management system;learning management systems,SKILL
7925,sas management console,sas management console,SKILL
7926,lsf scheduler,lsf scheduler,SKILL
7927,ltm,ltm,SKILL
7928,load balancing,load balancing computing;load balancing,SKILL
7929,big ip,big ip,SKILL
7930,certified lead business architect,certified lead business architect,SKILL
7931,clba,clba,SKILL
7932,converting business into process flow,converting business into process flow,SKILL
7933,pega prpc use case development,pega prpc use case development,SKILL
7934,pega pmf,pega pmf,SKILL
7935,smart bpm,smart bpm,SKILL
7936,pega direct capture of objectives,pega direct capture of objectives,SKILL
7937,medicare risk adjustment,medicare risk adjustment,SKILL
7938,sql servers,sql servers;sql server,SKILL
7939,native,native,SKILL
7940,agile scrum environment webapi 20,agile scrum environment webapi 20,SKILL
7941,c# net framework,c# net framework,SKILL
7942,nubridges,nubridges,SKILL
7943,protegrity,protegrity,SKILL
7944,data encryption,data encryption,SKILL
7945,encrypt,encrypt,SKILL
7946,safenet,safenet,SKILL
7947,voltage security,voltage security,SKILL
7948,threat modelling,threat modelling,SKILL
7949,pmo coordinator,pmo coordinator,SKILL
7950,pmo specialist,pmo specialist,SKILL
7951,windows desktop,windows desktop,SKILL
7952,time sheet management,time management;time sheet management,SKILL
7953,patching,patching,SKILL
7954,vmware 59,vmware 59,SKILL
7955,backups,backups,SKILL
7956,windows servers 2008 2012 r2,windows servers 2008 2012 r2,SKILL
7957,server momitoring,server momitoring,SKILL
7958,test development,testdriven development;test development,SKILL
7959,physical verification,physical verification,SKILL
7960,ic,ic,SKILL
7961,eda,eda,SKILL
7962,fab/ fabless,fab/ fabless,SKILL
7963,mcd,mcd,SKILL
7964,"electrical engineering, computer engineering","electrical engineering, computer engineering",SKILL
7965,atm's,atm's,SKILL
7966,calibre pv,calibre pv,SKILL
7967,mentor graphics,mentor graphics,SKILL
7968,mentor calibre,mentor calibre,SKILL
7969,ret,ret,SKILL
7970,tcl/tk,tcl/tk,SKILL
7971,mentor,mentor,SKILL
7972,resolution enhancement technology,resolution enhancement technology,SKILL
7973,ret / physical verification,ret / physical verification,SKILL
7974,genesys contact center call center,genesys contact center call center,SKILL
7975,functional spec,functional spec,SKILL
7976,balsamiq,balsamiq,SKILL
7977,finance functions,finance functions,SKILL
7978,fa,fa,SKILL
7979,self service hr,self service hr,SKILL
7980,core hr,core hr,SKILL
7981,oracle erp gl,oracle erp gl,SKILL
7982,advanced benefits,advanced benefits,SKILL
7983,billing,billing,SKILL
7984,basis,basis,SKILL
7985,clinical engineering,chemical engineering;clinical engineering,SKILL
7986,using sasbase,using sasbase,SKILL
7987,stat,stat,SKILL
7988,graph,graph,SKILL
7989,adam,adam,SKILL
7990,bi technology,bi technology;biotechnology,SKILL
7991,reports development,reports development,SKILL
7992,powerview,powerview,SKILL
7993,web designer,web design;web designer,SKILL
7994,or c#,or c#,SKILL
7995,ampscript,ampscript,SKILL
7996,salesforce sfdc salesforcecom marketing cloud,salesforce sfdc salesforcecom marketing cloud,SKILL
7997,otc derivatives,otc derivatives,SKILL
7998,var,var,SKILL
7999,basel,basel,SKILL
8000,mobile architect,mobile architect,SKILL
8001,mltc,mltc,SKILL
8002,medicare medicaid health plan,medicare medicaid health plan,SKILL
8003,data query tools,data query tools,SKILL
8004,db2 udb version 10,db2 udb version 10,SKILL
8005,mocha,mocha,SKILL
8006,chai,chai,SKILL
8007,jasmine,jasmine,SKILL
8008,optimizer,optimizer,SKILL
8009,web analyst,web analyst,SKILL
8010,crazy egg,crazy egg,SKILL
8011,sugarcrm,sugarcrm,SKILL
8012,proficient in sugarcrm,proficient in sugarcrm,SKILL
8013,partners,partners,SKILL
8014,media,media,SKILL
8015,lvr,lvr,SKILL
8016,ieee,ieee,SKILL
8017,bridges,bridges,SKILL
8018,financial management,financial management;financial management capstone;financial risk management;the financial management,SKILL
8019,strategic planning,strategic planning,SKILL
8020,storage administration,storage administration,SKILL
8021,innovation,innovation,SKILL
8022,product engineering,product engineering;product  engineering,SKILL
8023,hp nonstop,hp nonstop,SKILL
8024,tandem,tandem,SKILL
8025,clustert,clustert,SKILL
8026,qa concepts,qa concepts,SKILL
8027,rest soap webservices,rest soap webservices,SKILL
8028,java framework spring jsf struts,java framework spring jsf struts,SKILL
8029,java servlets,java servlets,SKILL
8030,h1bs,h1bs,SKILL
8031,operations research,operations research,SKILL
8032,green cards,green cards,SKILL
8033,phd/ms,phd/ms,SKILL
8034,"statistics, physics","statistics, physics",SKILL
8035,big data architectural experience,big data architectural experience,SKILL
8036,design patterns  frameworks,design patterns  frameworks,SKILL
8037,oozy,oozy,SKILL
8038,hbase hive,hbase hive,SKILL
8039,leverage ratio,leverage ratio,SKILL
8040,enhancements,enhancements,SKILL
8041,customization,customization,SKILL
8042,interfaces,interfaces,SKILL
