:END_ID,:START_ID,:TYPE
3892,74,POSTED
3920,74,POSTED
3925,74,POSTED
3965,74,POSTED
3987,74,POSTED
4016,74,POSTED
4050,74,POSTED
4056,74,POSTED
4061,74,POSTED
4068,74,POSTED
4084,74,POSTED
4155,74,POSTED
4223,74,POSTED
4228,74,POSTED
4237,74,POSTED
4247,74,POSTED
4262,74,POSTED
4282,74,POSTED
4320,74,POSTED
4329,74,POSTED
4335,74,POSTED
4376,74,POSTED
4570,74,POSTED
4796,74,POSTED
4800,74,POSTED
4814,74,POSTED
4822,74,POSTED
4840,74,POSTED
4847,74,POSTED
4912,74,POSTED
4913,74,POSTED
4916,74,POSTED
4947,74,POSTED
4950,74,POSTED
4966,74,POSTED
4969,74,POSTED
4973,74,POSTED
4980,74,POSTED
4993,74,POSTED
4995,74,POSTED
5037,74,POSTED
5058,74,POSTED
5065,74,POSTED
5092,74,POSTED
5097,74,POSTED
5098,74,POSTED
5102,74,POSTED
5108,74,POSTED
5624,74,POSTED
6315,74,POSTED
6316,74,POSTED
6317,74,POSTED
6679,74,POSTED
6710,74,POSTED
6716,74,POSTED
6724,74,POSTED
6730,74,POSTED
6738,74,POSTED
6743,74,POSTED
6744,74,POSTED
6746,74,POSTED
6752,74,POSTED
6757,74,POSTED
6767,74,POSTED
6768,74,POSTED
6769,74,POSTED
6787,74,POSTED
6792,74,POSTED
6795,74,POSTED
6803,74,POSTED
6816,74,POSTED
6819,74,POSTED
6827,74,POSTED
6828,74,POSTED
6835,74,POSTED
6863,74,POSTED
6872,74,POSTED
6873,74,POSTED
6877,74,POSTED
6889,74,POSTED
6892,74,POSTED
6894,74,POSTED
6908,74,POSTED
6930,74,POSTED
6941,74,POSTED
6949,74,POSTED
6959,74,POSTED
6972,74,POSTED
6980,74,POSTED
6989,74,POSTED
6995,74,POSTED
7005,74,POSTED
7015,74,POSTED
7019,74,POSTED
7021,74,POSTED
7025,74,POSTED
7030,74,POSTED
7032,74,POSTED
7048,74,POSTED
7078,74,POSTED
7084,74,POSTED
7090,74,POSTED
7098,74,POSTED
7113,74,POSTED
7114,74,POSTED
7116,74,POSTED
7120,74,POSTED
7122,74,POSTED
7123,74,POSTED
7127,74,POSTED
7148,74,POSTED
7159,74,POSTED
7178,74,POSTED
7179,74,POSTED
7181,74,POSTED
7187,74,POSTED
7203,74,POSTED
7206,74,POSTED
7212,74,POSTED
7213,74,POSTED
7232,74,POSTED
7235,74,POSTED
7239,74,POSTED
7247,74,POSTED
7248,74,POSTED
7253,74,POSTED
7259,74,POSTED
7264,74,POSTED
7280,74,POSTED
7281,74,POSTED
7287,74,POSTED
7293,74,POSTED
7299,74,POSTED
7301,74,POSTED
7321,74,POSTED
7324,74,POSTED
7326,74,POSTED
7335,74,POSTED
7336,74,POSTED
7337,74,POSTED
7339,74,POSTED
7344,74,POSTED
7345,74,POSTED
7346,74,POSTED
7347,74,POSTED
7351,74,POSTED
7353,74,POSTED
7354,74,POSTED
7355,74,POSTED
7360,74,POSTED
7367,74,POSTED
7369,74,POSTED
7370,74,POSTED
